number,sentence
0,쓱
1,18%만큼
2,스윙스사진
3,실패
4,안먹으면
5,"저기요,"
6,민원인으로
7,출신
8,아류들
9,있지????
10,알겠다이기ㅋㅋ
11,삼한제일검
12,블박보고
13,업그레이드해줘
14,놀이공원을
15,얘
16,적는
17,타먹었는데
18,개최한다고..
19,안입으면
20,선진
21,잘하네
22,99.99999..%가
23,폰이
24,5년이지
25,노력한건
26,영상이었구나뒤에서
27,조국전
28,수준이네.
29,뭐어쩌라고?
30,숨어잇엇네
31,ㅇㅂ하는
32,막강하게
33,대본이
34,다음주부터는
35,무섭게
36,6:30
37,보험비가
38,"아,"
39,힘있어도
40,적나라하게
41,부자들이
42,폰만지지말고
43,있을거다
44,읽을수가없습니다ㅠㅠ
45,공문보내면
46,중동은
47,터득하며
48,신제품나왓다고
49,19년
50,사진작가:
51,본능적으로
52,숫자는
53,한의학과
54,슬픔
55,고백하든가
56,한국이라는
57,분당에서
58,만나면
59,설파해보던가
60,강대국이라는
61,못하는거
62,씨발새끼들......
63,고도가
64,호로새끼
65,열받앗나본데
66,하면노잼충
67,착각하는거고관광?
68,놀러갔는데
69,알든말든
70,"대구,"
71,레전든데
72,븅신들
73,교활한
74,미개한
75,있는거고
76,씹새끼들한테
77,하는데미국에선
78,되어있음서비스
79,"골반,엉덩이"
80,민중에
81,30대
82,5프로
83,현명하네
84,커뮤니티에
85,먹고살만하냐
86,술이지
87,켜져있구만
88,있나?
89,임팩트있고
90,불려줄
91,OK
92,중1이
93,뭐라하면
94,홍어자슥
95,....
96,버티는
97,오바인가요??
98,되기때문에전기(아크)용접이나
99,미국배운
100,꼴찌
101,쳐하고
102,잘됐네
103,연락처
104,안정이란
105,있었을텐데...
106,근처에
107,센스개지림
108,side)역시
109,푸하하하하
110,구찌
111,온것이고
112,게이머도
113,부장으로
114,끝판왕
115,씹소리야
116,안되는지
117,끼어들수가
118,될듯.
119,정확히
120,유럽
121,역할임
122,못가리고
123,문장규(마쓰이
124,꽈자와자꽈꿍꽐라까자
125,흥얼거리고
126,조만간
127,감봉
128,직접하기도
129,유튜브판에서
130,초청해서
131,면상
132,부사관이
133,왜저런걸
134,보람튜브가
135,ㅋㅋ개꼬시노
136,간섭함
137,만함
138,「W.
139,양날의
140,남용하네
141,몰래가져가서
142,이렇게라도
143,넘어갈거아니겟냐.지금
144,잘생기지않았는데도
145,학교를
146,공평하게
147,나도모르는데
148,부활아니였음
149,밟으면
150,같노
151,프라이드
152,정신병자들은
153,편의점
154,물타기를
155,토씨하나
156,십대에게도
157,여정이라고
158,니들끼리
159,우울증
160,안나오냐?연구마다
161,지들좋아하는
162,도둑놈만
163,아연
164,사신가;;
165,비슷해야
166,소방관되어서
167,ㅇ게이들
168,댓통
169,차는거지
170,호다다다다다닥
171,위선자
172,신호
173,못하겟지만
174,잘생기면
175,환상가지는
176,댓글수
177,어때서
178,주식은
179,기반한
180,안됨?
181,고소득직
182,일특원
183,시청자들한테도
184,4칙연산
185,나올거고
186,5500달러.
187,복도쪽에
188,원숭이새끼들.발가벗고
189,맞습니다
190,기본적인건
191,더힘들다
192,차이가어
193,인스타에서
194,조직되어
195,유턴할려고
196,아니까
197,시키는거
198,실업자
199,공단에도
200,다른게
201,생각이다른
